season,division,date,home,away,result,open_h,open_d,open_a,close_h,close_d,close_a,open_source,close_source,fair_h,fair_d,fair_a,overround
1617,E0,2016-08-13,Burnley,Swansea,A,2.4,3.3,3.25,,,,B365H/B365D/B365A,,0.4055587067498582,0.2949517867271696,0.29948950652297224,0.027389277389277433
1617,E0,2016-08-13,Crystal Palace,West Brom,A,2.0,3.3,4.5,,,,B365H/B365D/B365A,,0.4876847290640395,0.29556650246305427,0.21674876847290642,0.025252525252525082
1617,E0,2016-08-13,Everton,Tottenham,D,3.2,3.4,2.4,,,,B365H/B365D/B365A,,0.3053892215568862,0.2874251497005988,0.40718562874251496,0.023284313725490335
1617,E0,2016-08-13,Hull,Leicester,H,4.5,3.6,1.91,,,,B365H/B365D/B365A,,0.21710713270815574,0.2713839158851947,0.5115089514066496,0.023560209424083656
1617,E0,2016-08-13,Man City,Sunderland,H,1.25,6.5,15.0,,,,B365H/B365D/B365A,,0.7839195979899497,0.1507537688442211,0.06532663316582914,0.020512820512820662
1617,E0,2016-08-13,Middlesbrough,Stoke,D,2.38,3.2,3.4,,,,B365H/B365D/B365A,,0.40920716112531963,0.3043478260869565,0.2864450127877238,0.026785714285714413
1617,E0,2016-08-13,Southampton,Watford,D,1.8,3.75,5.0,,,,B365H/B365D/B365A,,0.5434782608695653,0.2608695652173913,0.19565217391304351,0.022222222222222143
1617,E0,2016-08-14,Arsenal,Liverpool,A,2.4,3.5,3.1,,,,B365H/B365D/B365A,,0.40651929561633576,0.2787560884226302,0.3147246159610341,0.024961597542242586
1617,E0,2016-08-14,Bournemouth,Man United,A,4.75,3.6,1.85,,,,B365H/B365D/B365A,,0.20462401106075737,0.26999001459405486,0.5253859743451877,0.028844634107791922
1617,E0,2016-08-15,Chelsea,West Ham,H,1.65,4.0,6.0,,,,B365H/B365D/B365A,,0.5925925925925927,0.24444444444444444,0.16296296296296295,0.022727272727272707
1617,E0,2016-08-19,Man United,Southampton,H,1.53,4.2,7.5,,,,B365H/B365D/B365A,,0.6376389141920205,0.23228274731280743,0.13007833849517217,0.025023342670401405
1617,E0,2016-08-20,Burnley,Liverpool,H,6.5,4.2,1.57,,,,B365H/B365D/B365A,,0.149527200163269,0.23141114310982105,0.6190616567269098,0.02888406710062763
